"Obs","Name","Type","numobs","nmiss","per_miss","unique","mean_or_top1","min_or_top2","p1_or_top3","p5_or_top4","p25_or_top5","median_or_bot5","p75_or_bot4","p95_or_bot3","p99_or_bot2","max_or_bot1"
52,"MTD2001","integer",895720,831128,"93%",383,"200850.797931632","197311","199508","200211","200510","200907","201208","201409","201508","201608"
53,"PREMIUM_BANKCARD_IND","character",895720,0,"0%",2,"N::890260","Y::5460","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA"
54,"PREM_CR_ISS_DTE","character",895720,890260,"99%",10,"::890260","2016-01-01::2140","2015-12-01::1509","2016-08-01::648","2015-11-01::398","2016-07-01::321","2016-02-01::243","2016-09-01::109","2016-06-01::79","2015-10-01::13"
55,"CLSDSTUD","character",895720,0,"0%",2,"N::726607","Y::169113","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA"
56,"STHC","integer",895720,744487,"83%",48699,"21605.2519159178","0","750","1900","5500","12014","24470","73182","158311.08","708828"
57,"SLTYPE","character",895720,744487,"83%",2,"::744487","ST::151233","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA"
58,"STOPDTE","character",895720,744487,"83%",385,"::744487","2015-08-01::5661","2015-09-01::4975","2014-08-01::2585","2007-08-01::2566","1984-07-01::1","1985-04-01::1","1987-12-01::1","1983-11-01::1","1983-08-01::1"
59,"STUD_HC","integer",895720,0,"0%",10,"1.12896775778145","0","0","0","0","0","0","9","9","9"
60,"UPSCALE_CARD_IND","character",895720,0,"0%",2,"N::895719","Y::1","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA"
61,"UPSCL_CR_ISS_DTE","character",895720,895719,"100%",2,"::895719","2015-12-01::1","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA"
62,"SCRAT01","integer",895720,0,"0%",131,"17.8442582503461","2","3","5","10","16","23","37","50","196"
63,"SCRAT03","integer",895720,0,"0%",71,"7.57087036127361","0","0","2","4","7","10","17","24","96"
64,"SCRAT05","integer",895720,0,"0%",21,"0.268750279105077","0","0","0","0","0","0","1","3","23"
65,"SCRAT06","integer",895720,0,"0%",25,"0.556455142231947","0","0","0","0","0","1","2","4","26"
66,"SCRAT07","integer",895720,0,"0%",34,"1.1105133300585","0","0","0","0","1","2","4","6","69"
67,"SCRAT08","integer",895720,0,"0%",42,"1.69280132184165","0","0","0","0","1","2","5","9","71"
68,"SCRAT09","integer",895720,0,"0%",52,"2.23677935068995","0","0","0","1","2","3","7","11","76"
69,"SCRAT10","integer",895720,0,"0%",66,"7.06533180011611","0","1","2","4","6","9","16","22","81"
70,"SCRAT11","integer",895720,0,"0%",67,"7.13092484258474","0","1","2","4","6","9","16","22","81"
71,"SCRAT12","integer",895720,0,"0%",65,"7.2068101638905","0","1","2","4","6","9","16","22","81"
72,"SCRAT13","integer",895720,0,"0%",67,"7.26464073594427","0","1","2","4","6","10","16","23","81"
73,"SCRAT14","integer",895720,0,"0%",67,"7.30197494752825","0","1","2","4","6","10","16","23","81"
74,"SCRAT20","integer",895720,0,"0%",716,"235.132624034296","1","43","107","163","220","297","414","489","999"
75,"SCRAT21","integer",895720,0,"0%",388,"18.3055564238825","0","0","1","4","10","22","64","117","534"
76,"SCRAT23","integer",895720,0,"0%",69,"7.40233331844773","0","0","2","4","6","10","17","23","95"
77,"SCRAT24","integer",895720,0,"0%",65,"7.13204014647434","0","0","1","4","6","9","16","23","90"
78,"SCRAT25","integer",895720,0,"0%",63,"6.61122114053499","0","0","1","3","6","9","15","21","88"
79,"SCRAT26","integer",895720,0,"0%",62,"6.14404836332783","0","0","1","3","5","8","14","20","88"
80,"SCRAT27","integer",895720,0,"0%",59,"5.69763095610235","0","0","1","3","5","8","14","19","83"
81,"SCRAT28","integer",895720,0,"0%",370619,"220470.936303756","0","500","10900","54980","175302","309357.25","593368.05","1036384.42","9999999"
82,"SCRAT29","integer",895720,0,"0%",61,"5.03125083731523","0","0","1","3","4","7","12","18","71"
83,"SCRAT33","integer",895720,0,"0%",363739,"158807.122255839","0","0","549","19860","111036.5","234080.5","472643.749999998","838765.019999997","9999999"
84,"AT34_IMPLIED","integer",895720,21370,"2%",1762,"386.452158746497","0","0","7","118","346","610","911","1043","9999"
85,"SCRAT35","integer",895720,6772,"1%",118086,"26177.6704284165","0","0","202","3665","15017","34739","87589.6499999999","170136.24","5341456"
86,"SCRAT36","integer",895720,533697,"60%",143,"22.7591755219972","0","0","0","3","16","37","69","79","267"
87,"SCRAT99","integer",895720,0,"0%",148929,"36442.488190506","0","0","66","5006","20270","45831.25","125485.05","250725.149999999","9999999"
88,"SCRBR03","integer",895720,0,"0%",46,"3.21744853302371","0","0","0","1","3","4","8","12","76"
89,"SCRBR20","integer",895720,38356,"4%",681,"205.567186165969","0","12","49","138","193","267","381","465","999"
90,"SCRBR28","integer",895720,0,"0%",6637,"41887.5199682937","0","0","0","6500","23600","51500","142800","303800","3566700"
91,"SCRBR33","integer",895720,0,"0%",85593,"12636.8405986246","0","0","0","397","3035","10431","52967.0499999999","156444.81","9999999"
92,"SCRFR03","integer",895720,0,"0%",13,"0.598787567543429","0","0","0","0","0","1","2","4","12"
93,"SCRFR33","integer",895720,0,"0%",27624,"1387.86757692136","0","0","0","0","0","0","5619","25441.8099999999","1511915"
94,"SCRFR35","integer",895720,579281,"65%",21275,"2593.48501290928","0","0","0","0","365","1765","9782","37928.72","1350988"
95,"SCRRE03","integer",895720,0,"0%",61,"5.43492720939579","0","0","0","2","5","7","14","19","80"
96,"SCRRE10","integer",895720,0,"0%",58,"4.91666034028491","0","0","0","2","4","7","12","17","79"
97,"SCRRE11","integer",895720,0,"0%",57,"4.97077434912696","0","0","0","2","4","7","12","18","79"
98,"SCRRE12","integer",895720,0,"0%",58,"5.03805318626356","0","0","0","2","4","7","12","18","79"
99,"SCRRE13","integer",895720,0,"0%",60,"5.08606930737284","0","0","0","2","4","7","13","18","79"
100,"SCRRE14","integer",895720,0,"0%",61,"5.12136046978967","0","0","0","2","4","7","13","18","79"
101,"SCRRE20","integer",895720,14011,"2%",704,"223.739402682745","0","17","63","150","211","291","408","484","999"
